Campaign,Budget,Campaign Type,Networks,Locations,Languages,Bid Strategy
Healthcare Training - Indianapolis,100,Search,Google Search,Indianapolis IN; Marion County IN,English,Maximize Clicks
Skilled Trades - Indianapolis,100,Search,Google Search,Indianapolis IN; Marion County IN,English,Maximize Clicks
Retail Training - NRF RISE Up,67,Search,Google Search,Indianapolis IN; Marion County IN,English,Maximize Clicks
Workforce Development - Indianapolis,66,Search,Google Search,Indianapolis IN; Marion County IN,English,Maximize Clicks
Mental Wellness - Indianapolis,50,Search,Google Search,Indianapolis IN; Marion County IN,English,Maximize Clicks
VITA Tax Prep - Indianapolis,30,Search,Google Search,Indianapolis IN; Marion County IN,English,Maximize Clicks
